ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P61889,Malate dehydrogenase,mdh,41989,Y00129,P61889,MDH_ECOLI,,,,,Escherichia coli (strain K12),DB00336
P06818,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,,,,,Influenza A virus (strain A/Bangkok/1/1979 H3N2),DB00558
P14780,Matrix metalloproteinase-9,"",177205,J05070,P14780,MMP9_HUMAN,,MMP9,MMP9,HGNC:7176,Human,DB00786; DB01296
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,,HSD3B2,HSD3B2,HGNC:5218,Human,DB01108
P21554,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,,CNR1,CNR1,HGNC:2159,Human,DB00470; DB00486; DB06155
P30556,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,,AGTR1,AGTR1,HGNC:336,Human,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB08822
P34995,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,,PTGER1,PTGER1,HGNC:9593,Human,DB00429; DB00770; DB00905; DB00917; DB01088
P11836,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,,MS4A1,MS4A1,HGNC:7315,Human,DB00073; DB00078; DB00081; DB08935
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,,PPARA,PPARA,HGNC:9232,Human,DB00636; DB01039; DB01241; DB01393
P10912,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,,GHR,GHR,HGNC:4263,Human,DB00052; DB00082
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,,HPRT1,HPRT1,HGNC:5157,Human,DB00993; DB01033
P28702,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,,RXRB,RXRB,HGNC:10478,Human,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799
P12277,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,,CKB,CKB,HGNC:1991,Human,DB00148
P31358,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,,CD52,CD52,HGNC:1804,Human,DB00087
Q13639,5-hydroxytryptamine receptor 4,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,,HTR4,HTR4,HGNC:5299,Human,DB00604; DB06480
P02792,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,,FTL,FTL,HGNC:3999,Human,DB00893
Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,,KCNH2,KCNH2,HGNC:6251,Human,DB00204; DB00308; DB00489; DB01100; DB01118; DB01182; DB01218
Q969P6,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,TOP1MT,TOP1MT,HGNC:29787,Human,DB00762
P11229,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,,CHRM1,CHRM1,HGNC:1950,Human,DB00185; DB00202; DB00219; DB00245; DB00332; DB00340; DB00354; DB00376; DB00383; DB00387; DB00392; DB00411; DB00424; DB00462; DB00508; DB00517; DB00572; DB00670; DB00725; DB00747; DB00771; DB00782; DB00785; DB00804; DB00810; DB00942; DB00979; DB00986; DB01036; DB01062; DB01085; DB01142; DB01148; DB01231; DB01233; DB04843; DB08897
P34972,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,,CNR2,CNR2,HGNC:2160,Human,DB00486
Q9NS75,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,,CYSLTR2,CYSLTR2,HGNC:18274,Human,DB00716
P44469,Penicillin-binding protein 2,mrdA,1572976,L42023,P44469,PBP2_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303; DB00671
P35610,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,,SOAT1,SOAT1,HGNC:11177,Human,DB00973; DB01094
Q9H244,P2Y purinoceptor 12,P2RY12,12083902,AF313449,Q9H244,P2Y12_HUMAN,,P2RY12,P2RY12,HGNC:18124,Human,DB00208; DB00374; DB00758; DB01240; DB06209; DB06441; DB08816
P25021,Histamine H2 receptor,HRH2,184088,M64799,P25021,HRH2_HUMAN,,HRH2,HRH2,HGNC:5183,Human,DB00272; DB00501; DB00585; DB00667; DB00751; DB00863; DB00927; DB00940; DB01142; DB08806
P06746,DNA polymerase beta,POLB,292397,L11607,P06746,DPOLB_HUMAN,,POLB,POLB,HGNC:9174,Human,DB00987
P06149,D-lactate dehydrogenase,dld,145753,M10038,P06149,DLD_ECOLI,,,,,Escherichia coli (strain K12),DB00756
P06864,Evolved beta-galactosidase subunit alpha,ebgA,145821,M64441,P06864,BGA2_ECOLI,,,,,Escherichia coli (strain K12),DB00581
Q16647,Prostacyclin synthase,PTGIS,10944956,D38145,Q16647,PTGIS_HUMAN,,PTGIS,PTGIS,HGNC:9603,Human,DB00812; DB01240
Q05940,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,,SLC18A2,SLC18A2,HGNC:10935,Human,DB00182; DB00206; DB00865; DB01089; DB01363; DB01576; DB01577; DB04844; DB06706; DB06714
O95477,ATP-binding cassette sub-family A member 1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,,ABCA1,ABCA1,HGNC:29,Human,DB01599
P17752,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,,TPH1,TPH1,HGNC:12008,Human,DB00360
P72030,Probable arabinosyltransferase B,embB,1552877,BX842584,P72030,EMBB_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
P03372,Estrogen receptor,ESR1,31234,X03635,P03372,ESR1_HUMAN,,ESR1,ESR1,HGNC:3467,Human,DB00255; DB00286; DB00294; DB00304; DB00367; DB00396; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01108; DB01185; DB01196; DB01357; DB01406; DB04573; DB04574; DB04575; DB04938; DB06401
P08192,Bifunctional protein FolC,folC,146020,M32445,P08192,FOLC_ECOLI,,,,,Escherichia coli (strain K12),DB01015
P0A7X3,30S ribosomal protein S9,rpsI,535073,X02130,P0A7X3,RS9_ECOLI,,,,,Escherichia coli (strain K12),DB00254; DB00560; DB00595; DB00618; DB01017; DB01301
P24046,Gamma-aminobutyric acid receptor subunit rho-1,GABRR1,182911,M62400,P24046,GBRR1_HUMAN,,GABRR1,GABRR1,HGNC:4090,Human,DB00231; DB00546; DB00683; DB00690; DB00801; DB00829; DB00842; DB00897; DB01215; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595
P69905,Hemoglobin subunit alpha,HBA1,386764,J00153,P69905,HBA_HUMAN,,HBA1,HBA1,HGNC:4823,Human,DB00358; DB00893
P10275,Androgen receptor,AR,178628,M20132,P10275,ANDR_HUMAN,,AR,AR,HGNC:644,Human,DB00499; DB00621; DB00624; DB00665; DB00858; DB00984; DB01128; DB01185; DB01395; DB01406; DB01420; DB04839; DB06710; DB08804; DB08899
P05091,"Aldehyde dehydrogenase, mitochondrial",ALDH2,28606,X05409,P05091,ALDH2_HUMAN,,ALDH2,ALDH2,HGNC:404,Human,DB00822
P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,903746,M73746,P22888,LSHR_HUMAN,,LHCGR,LHCGR,HGNC:6585,Human,DB00014; DB00032; DB00044; DB00097; DB06719
P09172,Dopamine beta-hydroxylase,DBH,30474,X13255,P09172,DOPO_HUMAN,,DBH,DBH,HGNC:2689,Human,DB00822; DB00988
P35498,Sodium channel protein type 1 subunit alpha,SCN1A,12642270,AF225985,P35498,SCN1A_HUMAN,,SCN1A,SCN1A,HGNC:10585,Human,DB00252; DB00273; DB00909; DB01121; DB01438; DB04930
P0A3M5,Penicillin-binding protein 2B,penA,14973165,AE005672,P0A3M5,PBP2_STRPN,,,,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),DB01147; DB01150
P07437,Tubulin beta chain,TUBB,338695,J00314,P07437,TBB5_HUMAN,,TUBB,TUBB,HGNC:20778,Human,DB00361; DB00541; DB00570; DB01179; DB01394
P13631,Retinoic acid receptor gamma,RARG,306887,M24857,P13631,RARG_HUMAN,,RARG,RARG,HGNC:9866,Human,DB00210; DB00459; DB00523; DB00755; DB00799
P21918,D(1B) dopamine receptor,DRD5,32049,X58454,P21918,DRD5_HUMAN,,DRD5,DRD5,HGNC:3026,Human,DB00800; DB00988; DB01235; DB01624
P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,409573,U02687,P36888,FLT3_HUMAN,,FLT3,FLT3,HGNC:3765,Human,DB00398
Q9NYK1,Toll-like receptor 7,TLR7,7330281,AF240467,Q9NYK1,TLR7_HUMAN,,TLR7,TLR7,HGNC:15631,Human,DB00724; DB01611
Q99720,Sigma non-opioid intracellular receptor 1,SIGMAR1,1783387,U75283,Q99720,SGMR1_HUMAN,,OPRS1,OPRS1,HGNC:8157,Human,DB00514; DB00652; DB09014
Q9H3S4,Thiamin pyrophosphokinase 1,TPK1,12248915,AB028138,Q9H3S4,TPK1_HUMAN,,TPK1,TPK1,HGNC:17358,Human,DB00152
P15692,Vascular endothelial growth factor A,VEGFA,181971,M32977,P15692,VEGFA_HUMAN,,VEGF,VEGF,HGNC:12680,Human,DB00112; DB01270; DB06779; DB08885
P37288,Vasopressin V1a receptor,AVPR1A,667068,L25615,P37288,V1AR_HUMAN,,AVPR1A,AVPR1A,HGNC:895,Human,DB00035; DB00067; DB00093; DB00872
P12532,"Creatine kinase U-type, mitochondrial",CKMT1A,180590,J04469,P12532,KCRU_HUMAN,,CKMT1A,CKMT1A,HGNC:31736,Human,DB00148
P08588,Beta-1 adrenergic receptor,ADRB1,178200,J03019,P08588,ADRB1_HUMAN,,ADRB1,ADRB1,HGNC:285,Human,DB00187; DB00195; DB00221; DB00264; DB00335; DB00368; DB00373; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00841; DB00866; DB00960; DB01064; DB01102; DB01118; DB01136; DB01193; DB01203; DB01210; DB01214; DB01295; DB01297; DB01359; DB01363; DB01580; DB04846; DB04861; DB06262; DB08807; DB08808
Q9Y5Y9,Sodium channel protein type 10 subunit alpha,SCN10A,4838145,AF117907,Q9Y5Y9,SCNAA_HUMAN,,SCN10A,SCN10A,HGNC:10582,Human,DB00281; DB00296; DB00297; DB00527; DB00645; DB00721; DB00807; DB00892; DB00961; DB01002; DB01086; DB01161
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,1041195,U09648,P23786,CPT2_HUMAN,,CPT2,CPT2,HGNC:2330,Human,DB01074
O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,3420185,AF043731,O76074,PDE5A_HUMAN,,PDE5A,PDE5A,HGNC:8784,Human,DB00203; DB00277; DB00806; DB00820; DB00862; DB00975; DB06237; DB06267
P48637,Glutathione synthetase,GSS,886284,L42531,P48637,GSHB_HUMAN,,GSS,GSS,HGNC:4624,Human,DB06151
P0A674,DNA-directed RNA polymerase subunit beta',rpoC,2143292,BX842574,P0A674,RPOC_MYCTU,,,,,Mycobacterium tuberculosis,DB01201
P37088,Amiloride-sensitive sodium channel subunit alpha,SCNN1A,452650,X76180,P37088,SCNNA_HUMAN,,SCNN1A,SCNN1A,HGNC:10599,Human,DB00384; DB00594
Q9UI33,Sodium channel protein type 11 subunit alpha,SCN11A,6572950,AF188679,Q9UI33,SCNBA_HUMAN,,SCN11A,SCN11A,HGNC:10583,Human,DB00909
Q14524,Sodium channel protein type 5 subunit alpha,SCN5A,184039,M77235,Q14524,SCN5A_HUMAN,,SCN5A,SCN5A,HGNC:10593,Human,DB00192; DB00243; DB00252; DB00280; DB00281; DB00379; DB00473; DB00527; DB00564; DB00680; DB00740; DB00750; DB00754; DB00776; DB00907; DB00908; DB00909; DB01056; DB01182; DB01195; DB01228; DB01320; DB01346; DB01426; DB01429
P30968,Gonadotropin-releasing hormone receptor,GNRHR,183422,L03380,P30968,GNRHR_HUMAN,,GNRHR,GNRHR,HGNC:4421,Human,DB00007; DB00014; DB00050; DB00106; DB00644; DB00666; DB01406; DB06699; DB06719; DB06825
P09619,Platelet-derived growth factor receptor beta,PDGFRB,189732,J03278,P09619,PGFRB_HUMAN,,PDGFRB,PDGFRB,HGNC:8804,Human,DB00102; DB00398; DB01268; DB06589; DB08896
P10826,Retinoic acid receptor beta,RARB,35883,X07282,P10826,RARB_HUMAN,,RARB,RARB,HGNC:9865,Human,DB00210; DB00459; DB00523; DB00799; DB04942
Q09428,ATP-binding cassette sub-family C member 8,ABCC8,1374919,L78243,Q09428,ABCC8_HUMAN,,ABCC8,ABCC8,HGNC:59,Human,DB00222; DB00672; DB00731; DB00912; DB01016; DB01067; DB01120; DB01124; DB01251; DB01252
O95069,Potassium channel subfamily K member 2,KCNK2,5712621,AF129399,O95069,KCNK2_HUMAN,,KCNK2,KCNK2,HGNC:6277,Human,DB00204
P00747,Plasminogen,PLG,387026,X05199,P00747,PLMN_HUMAN,,PLG,PLG,HGNC:9071,Human,DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513
P37231,Peroxisome proliferator-activated receptor gamma,PPARG,1711117,U79012,P37231,PPARG_HUMAN,,PPARG,PPARG,HGNC:9236,Human,DB00159; DB00244; DB00412; DB00795; DB00966; DB01014; DB01132; DB01393
P00742,Coagulation factor X,F10,182841,K03194,P00742,FA10_HUMAN,,F10,F10,HGNC:3528,Human,DB00025; DB00100; DB00569; DB01109; DB01225; DB06228; DB06605; DB09075
Q9UBS5,Gamma-aminobutyric acid type B receptor subunit 1,GABBR1,3892594,AJ225028,Q9UBS5,GABR1_HUMAN,,GABBR1,GABBR1,HGNC:4070,Human,DB00181; DB00837; DB01080
P98194,Calcium-transporting ATPase type 2C member 1,ATP2C1,6715131,AF181120,P98194,AT2C1_HUMAN,,ATP2C1,ATP2C1,HGNC:13211,Human,DB00228; DB00753; DB01189; DB01236
P12821,Angiotensin-converting enzyme,ACE,178286,J04144,P12821,ACE_HUMAN,,ACE,ACE,HGNC:2707,Human,DB00178; DB00492; DB00519; DB00542; DB00584; DB00691; DB00722; DB00790; DB00881; DB01180; DB01197; DB01340; DB01348
P07327,Alcohol dehydrogenase 1A,ADH1A,178092,M12271,P07327,ADH1A_HUMAN,,ADH1A,ADH1A,HGNC:249,Human,DB01213
P54710,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,1575004,U50743,P54710,ATNG_HUMAN,,FXYD2,FXYD2,HGNC:4026,Human,DB00606
P55157,Microsomal triglyceride transfer protein large subunit,MTTP,414669,X75500,P55157,MTP_HUMAN,,MTTP,MTTP,HGNC:7467,Human,DB01094; DB08827
P10613,Lanosterol 14-alpha demethylase,ERG11,578119,X13296,P10613,CP51_CANAL,,,,,Yeast,DB00196; DB00239; DB00251; DB00257; DB00582; DB01007; DB01026; DB01110; DB01127; DB01153; DB01263; DB04794; DB08933
P06858,Lipoprotein lipase,LPL,307138,M15856,P06858,LIPL_HUMAN,,LPL,LPL,HGNC:6677,Human,DB06439
P05121,Plasminogen activator inhibitor 1,SERPINE1,35272,X04429,P05121,PAI1_HUMAN,,SERPINE1,SERPINE1,HGNC:8583,Human,DB00013
P29275,Adenosine receptor A2b,ADORA2B,178150,M97759,P29275,AA2BR_HUMAN,,ADORA2B,ADORA2B,HGNC:264,Human,DB00277; DB00640; DB00824
P10415,Apoptosis regulator Bcl-2,BCL2,179367,M13994,P10415,BCL2_HUMAN,,BCL2,BCL2,HGNC:990,Human,DB01229; DB01367
P08912,Muscarinic acetylcholine receptor M5,CHRM5,177988,M80333,P08912,ACM5_HUMAN,,CHRM5,CHRM5,HGNC:1954,Human,DB00340; DB00572; DB00725; DB00785; DB01036; DB01142; DB08897
P09917,Arachidonate 5-lipoxygenase,ALOX5,187193,J03600,P09917,LOX5_HUMAN,,ALOX5,ALOX5,HGNC:435,Human,DB00179; DB00244; DB00586; DB00711; DB00744; DB00795; DB00939; DB01014
P30531,Sodium- and chloride-dependent GABA transporter 1,SLC6A1,31658,X54673,P30531,SC6A1_HUMAN,,SLC6A1,SLC6A1,HGNC:11042,Human,DB00906
P00491,Purine nucleoside phosphorylase,PNP,35565,X00737,P00491,PNPH_HUMAN,,NP,NP,HGNC:7892,Human,DB00242
P14679,Tyrosinase,TYR,340037,M27160,P14679,TYRO_HUMAN,,TYR,TYR,HGNC:12442,Human,DB00548
P80404,"4-aminobutyrate aminotransferase, mitochondrial",ABAT,602705,L32961,P80404,GABT_HUMAN,,ABAT,ABAT,HGNC:23,Human,DB00313; DB01080
Q9Y478,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,2916800,AJ224515,Q9Y478,AAKB1_HUMAN,,PRKAB1,PRKAB1,HGNC:9378,Human,DB00331
P0A8V2,DNA-directed RNA polymerase subunit beta,rpoB,42818,V00339,P0A8V2,RPOB_ECOLI,,,,,Escherichia coli (strain K12),DB00615; DB01045; DB01220
P35354,Prostaglandin G/H synthase 2,PTGS2,291988,L15326,P35354,PGH2_HUMAN,,PTGS2,PTGS2,HGNC:9605,Human,DB00154; DB00159; DB00244; DB00316; DB00328; DB00461; DB00465; DB00469; DB00482; DB00500; DB00554; DB00573; DB00586; DB00605; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01398; DB01399; DB01600; DB01628; DB04552; DB04743; DB06725; DB08439; DB08910
P29474,"Nitric oxide synthase, endothelial",NOS3,189212,M93718,P29474,NOS3_HUMAN,,NOS3,NOS3,HGNC:7876,Human,DB00360
P08473,Neprilysin,MME,34758,X07166,P08473,NEP_HUMAN,,MME,MME,HGNC:7154,Human,DB00616
P00915,Carbonic anhydrase 1,CA1,29600,X05014,P00915,CAH1_HUMAN,,CA1,CA1,HGNC:1368,Human,DB00703; DB00819; DB00880; DB01031; DB01119; DB01144; DB01325
P00797,Renin,REN,190994,L00073,P00797,RENI_HUMAN,,REN,REN,HGNC:9958,Human,DB00212; DB09026
P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E,469945,X03884,P07766,CD3E_HUMAN,,CD3E,CD3E,HGNC:1674,Human,DB00075
P0A7S3,30S ribosomal protein S12,rpsL,43010,V00355,P0A7S3,RS12_ECOLI,,,,,Escherichia coli (strain K12),DB00452; DB00479; DB00560; DB00684; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB06696
P01008,Antithrombin-III,SERPINC1,179161,M21642,P01008,ANT3_HUMAN,,SERPINC1,SERPINC1,HGNC:775,Human,DB00407; DB00569; DB01109; DB01225; DB06271; DB06779; DB06822; DB08813
P55011,Solute carrier family 12 member 2,SLC12A2,903682,U30246,P55011,S12A2_HUMAN,,SLC12A2,SLC12A2,HGNC:10911,Human,DB00887; DB01325
P10875,Tubulin beta chain,TUB2,170938,M19398,P10875,TBB_CANAX,,,,,Yeast,DB00400
P08913,Alpha-2A adrenergic receptor,ADRA2A,178196,M23533,P08913,ADA2A_HUMAN,,ADRA2A,ADRA2A,HGNC:281,Human,DB00368; DB00370; DB00397; DB00449; DB00484; DB00575; DB00629; DB00633; DB00668; DB00692; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01363; DB01392; DB01577; DB01608; DB04948; DB06262; DB06694; DB06711
Q5T1J1,"HCG20471, isoform CRA_c",OPRS1,123231939,AL450283,Q5T1J1,Q5T1J1_HUMAN,,OPRS1,OPRS1,HGNC:8157,Human,DB00514; DB00704
P08908,5-hydroxytryptamine receptor 1A,HTR1A,189928,M28269,P08908,5HT1A_HUMAN,,HTR1A,HTR1A,HGNC:5286,Human,DB00247; DB00315; DB00477; DB00490; DB00656; DB00669; DB00866; DB00952; DB01142; DB01149; DB01359; DB01614; DB01616; DB01621; DB01622; DB04908; DB08810; DB09128
P30518,Vasopressin V2 receptor,AVPR2,28418,U04357,P30518,V2R_HUMAN,,AVPR2,AVPR2,HGNC:897,Human,DB00035; DB00067; DB00872; DB02638; DB06212
P06715,Glutathione reductase,gor,146248,M13141,P06715,GSHR_ECOLI,,,,,Escherichia coli (strain K12),DB00336
P00807,Beta-lactamase,blaZ,581568,X04121,P00807,BLAC_STAAU,,,,,Staphylococcus aureus,DB00766; DB01598
Q02641,Voltage-dependent L-type calcium channel subunit beta-1,CACNB1,179806,M92303,Q02641,CACB1_HUMAN,,CACNB1,CACNB1,HGNC:1401,Human,DB00308; DB00393; DB00661
P04293,DNA polymerase catalytic subunit,UL30,59530,X14112,P04293,DPOL_HHV11,,,,,HHV-1,DB00299; DB00426; DB00529; DB00577; DB00787; DB01004
P46098,5-hydroxytryptamine receptor 3A,HTR3A,681914,D49394,P46098,5HT3A_HUMAN,,HTR3A,HTR3A,HGNC:5297,Human,DB00370; DB00377; DB00604; DB00721; DB00757; DB00889; DB00904; DB00969; DB01199
P24024,Protein P,P,329670,M32138,P24024,DPOL_HBVD2,,,,,HBV-D,DB00718
P10828,Thyroid hormone receptor beta,THRB,31207,X04707,P10828,THB_HUMAN,,THRB,THRB,HGNC:11799,Human,DB00279; DB00451; DB00509; DB01583
P47872,Secretin receptor,SCTR,662796,U20178,P47872,SCTR_HUMAN,,SCTR,SCTR,HGNC:10608,Human,DB00021
P00918,Carbonic anhydrase 2,CA2,179780,M77181,P00918,CAH2_HUMAN,,CA2,CA2,HGNC:1373,Human,DB00273; DB00703; DB00819; DB00869; DB00880; DB01031; DB01119; DB01144; DB01194; DB01325
