ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,,KCNH2,KCNH2,HGNC:6251,Human,DB00199; DB00204; DB00276; DB00308; DB00346; DB00457; DB00458; DB00477; DB00489; DB00537; DB00590; DB00604; DB00637; DB00661; DB00679; DB00908; DB01100; DB01110; DB01118; DB01136; DB01142; DB01162; DB01182; DB01211; DB01218; DB04855; DB06144
Q969P6,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,TOP1MT,TOP1MT,HGNC:29787,Human,DB00762; DB01030
P11229,Muscarinic acetylcholine receptor M1,CHRM1,34451,X52068,P11229,ACM1_HUMAN,,CHRM1,CHRM1,HGNC:1950,Human,DB00185; DB00202; DB00209; DB00215; DB00219; DB00245; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00354; DB00363; DB00366; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00508; DB00517; DB00540; DB00543; DB00572; DB00622; DB00670; DB00715; DB00725; DB00747; DB00771; DB00777; DB00782; DB00785; DB00804; DB00805; DB00809; DB00810; DB00835; DB00875; DB00907; DB00934; DB00940; DB00942; DB00979; DB00986; DB01036; DB01062; DB01069; DB01085; DB01142; DB01148; DB01151; DB01175; DB01224; DB01231; DB01233; DB01238; DB01239; DB01403; DB01409; DB01591; DB01618; DB04843; DB06702; DB08897; DB09076
Q9Y289,Sodium-dependent multivitamin transporter,SLC5A6,5006439,AF116241,Q9Y289,SC5A6_HUMAN,,SLC5A6,SLC5A6,HGNC:11041,Human,DB00121; DB00166
P34972,Cannabinoid receptor 2,CNR2,407807,X74328,P34972,CNR2_HUMAN,,CNR2,CNR2,HGNC:2160,Human,DB00470; DB00486
Q8N8R3,Mitochondrial carnitine/acylcarnitine carrier protein CACL,SLC25A29,28193150,BX247983,Q8N8R3,MCATL_HUMAN,,SLC25A29,SLC25A29,HGNC:20116,Human,DB00583
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,189760,M34479,P11177,ODPB_HUMAN,,PDHB,PDHB,HGNC:8808,Human,DB00119
Q9NS75,Cysteinyl leukotriene receptor 2,CYSLTR2,9663958,AB038269,Q9NS75,CLTR2_HUMAN,,CYSLTR2,CYSLTR2,HGNC:18274,Human,DB00716
P17707,S-adenosylmethionine decarboxylase proenzyme,AMD1,178518,M21154,P17707,DCAM_HUMAN,,AMD1,AMD1,HGNC:457,Human,DB00118; DB03754
Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGXT2,12406973,AJ292204,Q9BYV1,AGT2_HUMAN,,AGXT2,AGXT2,HGNC:14412,Human,DB00119; DB00145; DB00160
P44469,Penicillin-binding protein 2,mrdA,1572976,L42023,P44469,PBP2_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303; DB00671
P35610,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,,SOAT1,SOAT1,HGNC:11177,Human,DB00973; DB01094
O76082,Solute carrier family 22 member 5,SLC22A5,3273741,AF057164,O76082,S22A5_HUMAN,,SLC22A5,SLC22A5,HGNC:10969,Human,DB00583
P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1,179440,J03858,P13688,CEAM1_HUMAN,,CEACAM1,CEACAM1,HGNC:1814,Human,DB00113
P51606,N-acylglucosamine 2-epimerase,RENBP,220053,D10232,P51606,RENBP_HUMAN,,RENBP,RENBP,HGNC:9959,Human,DB00141
Q9H244,P2Y purinoceptor 12,P2RY12,12083902,AF313449,Q9H244,P2Y12_HUMAN,,P2RY12,P2RY12,HGNC:18124,Human,DB00208; DB00374; DB00758; DB01240; DB06209; DB06441; DB08816
P25021,Histamine H2 receptor,HRH2,184088,M64799,P25021,HRH2_HUMAN,,HRH2,HRH2,HGNC:5183,Human,DB00272; DB00321; DB00334; DB00408; DB00501; DB00585; DB00667; DB00751; DB00797; DB00863; DB00927; DB00940; DB01142; DB06216; DB08806
P06746,DNA polymerase beta,POLB,292397,L11607,P06746,DPOLB_HUMAN,,POLB,POLB,HGNC:9174,Human,DB00987
P06149,D-lactate dehydrogenase,dld,145753,M10038,P06149,DLD_ECOLI,,,,,Escherichia coli (strain K12),DB00756; DB03147
P07741,Adenine phosphoribosyltransferase,APRT,28819,Y00486,P07741,APT_HUMAN,,APRT,APRT,HGNC:626,Human,DB00173
P06864,Evolved beta-galactosidase subunit alpha,ebgA,145821,M64441,P06864,BGA2_ECOLI,,,,,Escherichia coli (strain K12),DB00581
Q16647,Prostacyclin synthase,PTGIS,10944956,D38145,Q16647,PTGIS_HUMAN,,PTGIS,PTGIS,HGNC:9603,Human,DB00812; DB01240
Q05940,Synaptic vesicular amine transporter,SLC18A2,292335,L09118,Q05940,VMAT2_HUMAN,,SLC18A2,SLC18A2,HGNC:10935,Human,DB00182; DB00206; DB00368; DB00865; DB01089; DB01363; DB01364; DB01576; DB01577; DB04844; DB06706; DB06714
O95477,ATP-binding cassette sub-family A member 1,ABCA1,9247086,AF275948,O95477,ABCA1_HUMAN,,ABCA1,ABCA1,HGNC:29,Human,DB00171; DB01016; DB01599
Q49184,Dihydropteroate synthase type-1,sulI,44284,X53635,Q49184,DHP1_MYCFO,,,,,Mycobacterium fortuitum,DB00891
P17752,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,,TPH1,TPH1,HGNC:12008,Human,DB00360
P72030,Probable arabinosyltransferase B,embB,1552877,BX842584,P72030,EMBB_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
P03372,Estrogen receptor,ESR1,31234,X03635,P03372,ESR1_HUMAN,,ESR1,ESR1,HGNC:3467,Human,DB00255; DB00286; DB00294; DB00304; DB00367; DB00396; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01065; DB01108; DB01183; DB01185; DB01196; DB01357; DB01406; DB01431; DB04573; DB04574; DB04575; DB04938; DB06401
P08192,Bifunctional protein FolC,folC,146020,M32445,P08192,FOLC_ECOLI,,,,,Escherichia coli (strain K12),DB01015
P08700,Interleukin-3,IL3,307059,M14743,P08700,IL3_HUMAN,,IL3,IL3,HGNC:6011,Human,DB01025
Q04828,Aldo-keto reductase family 1 member C1,AKR1C1,181549,M86609,Q04828,AK1C1_HUMAN,,AKR1C1,AKR1C1,HGNC:384,Human,DB00936; DB00945
P0A7X3,30S ribosomal protein S9,rpsI,535073,X02130,P0A7X3,RS9_ECOLI,,,,,Escherichia coli (strain K12),DB00254; DB00256; DB00453; DB00560; DB00595; DB00618; DB01017; DB01301
P24046,Gamma-aminobutyric acid receptor subunit rho-1,GABRR1,182911,M62400,P24046,GBRR1_HUMAN,,GABRR1,GABRR1,HGNC:4090,Human,DB00231; DB00546; DB00683; DB00690; DB00801; DB00829; DB00842; DB00897; DB01215; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595
P69905,Hemoglobin subunit alpha,HBA1,386764,J00153,P69905,HBA_HUMAN,,HBA1,HBA1,HGNC:4823,Human,DB00358; DB00893
P10275,Androgen receptor,AR,178628,M20132,P10275,ANDR_HUMAN,,AR,AR,HGNC:644,Human,DB00367; DB00421; DB00499; DB00621; DB00624; DB00665; DB00687; DB00858; DB00984; DB01026; DB01128; DB01185; DB01395; DB01406; DB01420; DB04839; DB06710; DB08804; DB08899
P05091,"Aldehyde dehydrogenase, mitochondrial",ALDH2,28606,X05409,P05091,ALDH2_HUMAN,,ALDH2,ALDH2,HGNC:404,Human,DB00536; DB00822
P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,903746,M73746,P22888,LSHR_HUMAN,,LHCGR,LHCGR,HGNC:6585,Human,DB00014; DB00032; DB00044; DB00050; DB00097; DB06719
Q8WY07,Cationic amino acid transporter 3,SLC7A3,17224957,AF320612,Q8WY07,CTR3_HUMAN,,SLC7A3,SLC7A3,HGNC:11061,Human,DB00123; DB00125; DB00129
P09172,Dopamine beta-hydroxylase,DBH,30474,X13255,P09172,DOPO_HUMAN,,DBH,DBH,HGNC:2689,Human,DB00126; DB00822; DB00988
Q9Y4W6,AFG3-like protein 2,AFG3L2,5457357,Y18314,Q9Y4W6,AFG32_HUMAN,,AFG3L2,AFG3L2,HGNC:315,Human,DB00171
Q9UHW9,Solute carrier family 12 member 6,SLC12A6,6693798,AF116242,Q9UHW9,S12A6_HUMAN,,SLC12A6,SLC12A6,HGNC:10914,Human,DB00761
P35498,Sodium channel protein type 1 subunit alpha,SCN1A,12642270,AF225985,P35498,SCN1A_HUMAN,,SCN1A,SCN1A,HGNC:10585,Human,DB00252; DB00273; DB00909; DB01121; DB01438; DB01595; DB04855; DB04930
P0A3M5,Penicillin-binding protein 2B,penA,14973165,AE005672,P0A3M5,PBP2_STRPN,,,,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),DB01147; DB01150
P07437,Tubulin beta chain,TUBB,338695,J00314,P07437,TBB5_HUMAN,,TUBB,TUBB,HGNC:20778,Human,DB00361; DB00541; DB00570; DB01179; DB01394
P13631,Retinoic acid receptor gamma,RARG,306887,M24857,P13631,RARG_HUMAN,,RARG,RARG,HGNC:9866,Human,DB00210; DB00459; DB00523; DB00755; DB00799
P21918,D(1B) dopamine receptor,DRD5,32049,X58454,P21918,DRD5_HUMAN,,DRD5,DRD5,HGNC:3026,Human,DB00246; DB00248; DB00268; DB00334; DB00408; DB00413; DB00477; DB00589; DB00714; DB00800; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01403; DB01624; DB05271
Q9H3N8,Histamine H4 receptor,HRH4,10241847,AB044934,Q9H3N8,HRH4_HUMAN,,HRH4,HRH4,HGNC:17383,Human,DB00321; DB00334; DB00363; DB00408; DB00477; DB00543; DB00667; DB01142; DB06148
P36888,Receptor-type tyrosine-protein kinase FLT3,FLT3,409573,U02687,P36888,FLT3_HUMAN,,FLT3,FLT3,HGNC:3765,Human,DB00398; DB01268; DB08901; DB09079
Q9Y697,"Cysteine desulfurase, mitochondrial",NFS1,24042327,AF097025,Q9Y697,NFS1_HUMAN,,NFS1,NFS1,HGNC:15910,Human,DB00151; DB00160
P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,3766467,Y11192,P51649,SSDH_HUMAN,,ALDH5A1,ALDH5A1,HGNC:408,Human,DB00139; DB00313; DB00534
Q16857,Cysteine dioxygenase,CDO-1,2138111,U60232,Q16857,Q16857_HUMAN,,,,,Human,DB00151
O00180,Potassium channel subfamily K member 1,KCNK1,1086491,U33632,O00180,KCNK1_HUMAN,,KCNK1,KCNK1,HGNC:6272,Human,DB00308; DB00908; DB01346
Q9NYK1,Toll-like receptor 7,TLR7,7330281,AF240467,Q9NYK1,TLR7_HUMAN,,TLR7,TLR7,HGNC:15631,Human,DB00724; DB01611
Q99720,Sigma non-opioid intracellular receptor 1,SIGMAR1,1783387,U75283,Q99720,SGMR1_HUMAN,,OPRS1,OPRS1,HGNC:8157,Human,DB00321; DB00409; DB00514; DB00652; DB09014
Q9H3S4,Thiamin pyrophosphokinase 1,TPK1,12248915,AB028138,Q9H3S4,TPK1_HUMAN,,TPK1,TPK1,HGNC:17358,Human,DB00152
P0A7R5,30S ribosomal protein S10,rpsJ,42857,V00344,P0A7R5,RS10_ECOLI,,,,,Escherichia coli (strain K12),DB00698
P50747,Biotin--protein ligase,HLCS,577625,D23672,P50747,BPL1_HUMAN,,HLCS,HLCS,HGNC:4976,Human,DB00121
P00387,NADH-cytochrome b5 reductase 3,CYB5R3,553600,M28713,P00387,NB5R3_HUMAN,,CYB5R3,CYB5R3,HGNC:2873,Human,DB03147
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,531241,D10523,Q02218,ODO1_HUMAN,,OGDH,OGDH,HGNC:8124,Human,DB00313
P15692,Vascular endothelial growth factor A,VEGFA,181971,M32977,P15692,VEGFA_HUMAN,,VEGF,VEGF,HGNC:12680,Human,DB00112; DB01017; DB01120; DB01136; DB01270; DB03754; DB05294; DB06779; DB08885
P20132,L-serine dehydratase/L-threonine deaminase,SDS,338030,J05037,P20132,SDHL_HUMAN,,SDS,SDS,HGNC:10691,Human,DB00133
P37288,Vasopressin V1a receptor,AVPR1A,667068,L25615,P37288,V1AR_HUMAN,,AVPR1A,AVPR1A,HGNC:895,Human,DB00035; DB00067; DB00093; DB00872; DB02638; DB06212
P48506,Glutamate--cysteine ligase catalytic subunit,GCLC,183039,M90656,P48506,GSH1_HUMAN,,GCLC,GCLC,HGNC:4311,Human,DB00151
P49916,DNA ligase 3,LIG3,860963,X84740,P49916,DNLI3_HUMAN,,LIG3,LIG3,HGNC:6600,Human,DB00290
Q9UHI7,Solute carrier family 23 member 1,SLC23A1,3789785,AF058317,Q9UHI7,S23A1_HUMAN,,SLC23A1,SLC23A1,HGNC:10974,Human,DB00126
P12532,"Creatine kinase U-type, mitochondrial",CKMT1A,180590,J04469,P12532,KCRU_HUMAN,,CKMT1A,CKMT1A,HGNC:31736,Human,DB00148
P08588,Beta-1 adrenergic receptor,ADRB1,178200,J03019,P08588,ADRB1_HUMAN,,ADRB1,ADRB1,HGNC:285,Human,DB00187; DB00195; DB00221; DB00248; DB00264; DB00335; DB00368; DB00370; DB00373; DB00397; DB00408; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00841; DB00852; DB00866; DB00960; DB01001; DB01064; DB01102; DB01118; DB01136; DB01151; DB01193; DB01203; DB01210; DB01214; DB01288; DB01291; DB01295; DB01297; DB01359; DB01363; DB01407; DB01580; DB04846; DB04855; DB04861; DB06216; DB06262; DB08807; DB08808
